upsampling,seed,epoch,loss,accuracy,epsilon
False,2,16,0.18097235310052248,95.13,0.9436435704041763
False,2,17,0.17607692964295588,95.13,0.964590214240223
False,2,18,0.17469990774512545,95.24,0.9855368580762696
False,2,19,0.17262101593191054,95.34,1.0064835019123162
False,2,20,0.17192057211166506,95.4,1.0274301457483628
True,2,1,1.9818351282314821,80.43,0.574639086640116
True,2,2,1.0413829475133256,88.26,0.5893513830623248
True,2,3,0.5480046015740796,89.64,0.6040636794845338
True,2,4,0.3600195557810366,91.79,0.6187759759067427
True,2,5,0.27775282853028993,93.19,0.6334882723289516
True,2,6,0.23651298553555866,93.79,0.6482005687511605
True,2,7,0.2164660403716632,94.1,0.6629128651733694
True,2,8,0.20370652322361077,94.36,0.6776251615955783
True,2,9,0.19256128637458791,94.96,0.6923374580177872
True,2,10,0.18353085724150084,95.04,0.7070497544399962
True,2,11,0.17868526522810993,95.06,0.721762050862205
True,2,12,0.17412784196097741,95.24,0.736474347284414
True,2,13,0.1708455289666414,95.44,0.7511866437066229
True,2,14,0.16874602713373446,95.56,0.7658989401288319
True,2,15,0.16440643547949466,95.64,0.7806112365510407
True,2,16,0.1578022039691198,95.78,0.7953235329732496
True,2,17,0.15497106203110889,95.84,0.8100358293954586
True,2,18,0.15323996233531612,95.91,0.8247481258176674
True,2,19,0.15017260577720168,96.01,0.8394604222398763
True,2,20,0.1463222304697741,96.09,0.8541727186620853
